number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_cw_blue,params_cw_green,params_cw_orange,params_cw_red,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_leaf_estimation_method,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_rsm,params_subsample,state
63,0.8259045786393411,2026-05-20 14:53:59.706559,2026-05-20 14:54:39.446055,0 days 00:00:39.739496,,Bernoulli,192,9.601438041489256,4.134156198377499,4.258711961106072,8.86387065030307,10,Depthwise,4900,4.46666264679243e-06,7,Newton,0.10140764344937725,,1.0,2.420005153139671e-08,0.653796525082957,0.6177937866485597,COMPLETE
64,0.863034742195796,2026-05-20 14:54:39.618562,2026-05-20 14:56:01.936056,0 days 00:01:22.317494,,Bernoulli,176,9.782018485172136,3.7310701591356548,2.3050595528513345,21.24043835828958,9,Lossguide,3900,0.00013818455277535217,9,Gradient,0.16844076526783908,58.0,1.0,0.1025341168745464,0.5506101749745828,0.5976088367490374,COMPLETE
65,0.8286511266756413,2026-05-20 14:56:02.117217,2026-05-20 14:58:37.174118,0 days 00:02:35.056901,9.988506394533967,Bayesian,148,9.812286291934573,1.3769307639525363,3.7699488280552913,15.309621878759067,8,Lossguide,4700,0.008747070217791145,8,Newton,0.13750666090447874,58.0,1.0,0.018864101657205756,0.7767990834486664,,COMPLETE
66,0.8454835350311327,2026-05-20 14:58:37.338114,2026-05-20 15:00:27.000446,0 days 00:01:49.662332,3.2567643211170556,Bayesian,238,9.460706966486862,4.429693986548525,6.276101330926579,4.786952270771601,9,Lossguide,4700,2.9867275797132985e-07,7,Gradient,0.04739305362686433,62.0,1.0,8.709720810731406e-08,0.5751802663713391,,COMPLETE
67,0.8629182274574282,2026-05-20 15:00:27.160133,2026-05-20 15:01:36.326287,0 days 00:01:09.166154,,Bernoulli,178,9.350702781330524,2.2019133802312316,3.435885085250496,7.541336748679485,10,SymmetricTree,4400,0.007399932507790203,9,Gradient,0.22837546384986512,,,0.01646449404528857,0.5407447207209185,0.6126401776322747,COMPLETE
68,0.8665111757628571,2026-05-20 15:01:36.498031,2026-05-20 15:02:29.809411,0 days 00:00:53.311380,,MVS,176,6.132563357043228,2.142139075940004,2.3944556453607837,7.133440073344017,10,Lossguide,4900,0.0008418074326040161,6,Gradient,0.20987493383259892,64.0,1.0,0.007480158413006401,0.8065048182465484,0.5690768514121161,COMPLETE
69,0.8693879178245277,2026-05-20 15:02:29.988155,2026-05-20 15:04:01.422183,0 days 00:01:31.434028,,MVS,162,6.051104981745384,1.9450361482746779,1.5337406173921337,7.593351790960959,8,Lossguide,5000,2.1635552438787223e-05,6,Gradient,0.14625872687442742,71.0,17.0,0.006411856855550644,0.7504642974715692,0.5441986623127221,COMPLETE
70,0.8538039636185673,2026-05-20 15:04:01.589938,2026-05-20 15:05:16.543656,0 days 00:01:14.953718,,MVS,194,5.643793162501836,2.207183914632057,6.522949115222164,3.261485225907574,7,Lossguide,4900,1.2640101236331212e-05,5,Gradient,0.2755412362491619,78.0,19.0,0.006057824366960612,0.7180783450890629,0.5183418139295793,COMPLETE
71,0.8717186521696778,2026-05-20 15:05:16.706302,2026-05-20 15:06:52.890961,0 days 00:01:36.184659,,Bernoulli,170,4.451918560497271,2.742200102467166,2.1176875324447058,2.5743006776287984,9,Lossguide,3900,0.00010553703313163149,10,Gradient,0.04808525047023985,68.0,16.0,0.01925962012438829,0.6501569686991421,0.5505894000311625,COMPLETE
72,0.8743965455631807,2026-05-20 15:06:53.064761,2026-05-20 15:08:37.121642,0 days 00:01:44.056881,,MVS,150,3.6413721799401584,1.9672503276103566,1.6654431169525288,2.3448809012180862,9,Lossguide,3800,1.930851530037696e-06,10,Gradient,0.036426390614391166,77.0,19.0,0.08123524077464245,0.7338632579031474,0.523999333685537,COMPLETE
73,0.8651421679442107,2026-05-20 15:08:37.295201,2026-05-20 15:09:23.266977,0 days 00:00:45.971776,,MVS,150,3.9461462402970575,2.5980896183777675,2.297717020442444,3.3122691806489093,7,SymmetricTree,3500,0.0006123824204662024,10,Gradient,0.03805446075284723,,,1.3281148609286972,0.6227805217560092,0.49914496461831037,COMPLETE
